date,close,high,low,open
2016-02-24 00:00:00+00:00,193.2,193.53,189.32,190.63
2016-02-25 00:00:00+00:00,195.54,195.55,192.83,193.73
2016-02-26 00:00:00+00:00,195.0892,196.68,194.9,196.57
2016-02-29 00:00:00+00:00,193.56,196.23,193.33,195.11
2016-03-01 00:00:00+00:00,198.11,198.21,194.4542,195.01
2016-03-02 00:00:00+00:00,199.0,199.06,197.25,197.74
2016-03-03 00:00:00+00:00,199.775,199.795,198.11,198.79
2016-03-04 00:00:00+00:00,200.43,201.35,199.03,200.01
2016-03-07 00:00:00+00:00,200.59,201.07,199.25,199.34
2016-03-08 00:00:00+00:00,198.4,199.92,198.21,199.32
2016-03-09 00:00:00+00:00,199.38,199.79,198.43,199.36
2016-03-10 00:00:00+00:00,199.54,201.07,197.38,199.96
2016-03-11 00:00:00+00:00,202.76,202.81,199.5179,201.26
2016-03-14 00:00:00+00:00,202.5,203.04,201.77,202.16
2016-03-15 00:00:00+00:00,202.17,202.5307,201.05,201.36
2016-03-16 00:00:00+00:00,203.34,203.82,201.55,201.6
2016-03-17 00:00:00+00:00,204.63,205.23,202.77,203.24
2016-03-18 00:00:00+00:00,204.38,204.78,203.8,204.17
2016-03-21 00:00:00+00:00,204.67,204.94,203.8,204.07
2016-03-22 00:00:00+00:00,204.56,205.23,203.57,203.76
2016-03-23 00:00:00+00:00,203.2092,204.33,203.01,204.11
2016-03-24 00:00:00+00:00,203.12,203.16,201.74,202.0
2016-03-28 00:00:00+00:00,203.24,203.86,202.705,203.61
2016-03-29 00:00:00+00:00,205.1208,205.25,202.4,202.76
2016-03-30 00:00:00+00:00,206.02,206.87,205.59,206.3
2016-03-31 00:00:00+00:00,205.52,206.41,205.33,205.91
2016-04-01 00:00:00+00:00,206.92,207.14,203.98,204.35
2016-04-04 00:00:00+00:00,206.25,207.07,205.89,206.83
2016-04-05 00:00:00+00:00,204.1892,206.2642,203.89,204.67
2016-04-06 00:00:00+00:00,206.42,206.49,203.98,204.29
2016-04-07 00:00:00+00:00,203.95,205.56,203.09,205.14
2016-04-08 00:00:00+00:00,204.4992,205.85,203.87,205.34
2016-04-11 00:00:00+00:00,204.0201,206.07,203.91,205.25
2016-04-12 00:00:00+00:00,205.92,206.25,203.7,204.22
2016-04-13 00:00:00+00:00,208.0008,208.1,206.84,207.0
2016-04-14 00:00:00+00:00,208.01,208.6,207.6,208.07
2016-04-15 00:00:00+00:00,207.78,208.1721,207.4,208.01
2016-04-18 00:00:00+00:00,209.2392,209.28,207.0,207.14
2016-04-19 00:00:00+00:00,209.9,210.2,208.94,209.74
2016-04-20 00:00:00+00:00,210.1,210.92,209.39,209.95
2016-04-21 00:00:00+00:00,208.97,210.25,208.65,210.12
2016-04-22 00:00:00+00:00,208.97,209.29,207.91,208.55
2016-04-25 00:00:00+00:00,208.61,208.66,207.54,208.26
2016-04-26 00:00:00+00:00,208.9192,209.52,208.36,209.04
2016-04-27 00:00:00+00:00,209.35,209.81,208.05,208.47
2016-04-28 00:00:00+00:00,207.4475,209.76,206.96,208.46
2016-04-29 00:00:00+00:00,206.3308,207.13,205.03,206.72
2016-05-02 00:00:00+00:00,207.97,208.18,206.41,206.92
2016-05-03 00:00:00+00:00,206.1592,206.8,205.28,206.52
2016-05-04 00:00:00+00:00,205.01,205.85,204.42,204.99
2016-05-05 00:00:00+00:00,204.97,205.98,204.47,205.56
2016-05-06 00:00:00+00:00,205.72,205.77,203.88,204.06
2016-05-09 00:00:00+00:00,205.8892,206.4,205.36,205.57
2016-05-10 00:00:00+00:00,208.45,208.5,206.64,206.72
2016-05-11 00:00:00+00:00,206.5,208.54,206.5,207.91
2016-05-12 00:00:00+00:00,206.56,207.4899,205.37,207.29
2016-05-13 00:00:00+00:00,204.76,206.86,204.38,206.21
2016-05-16 00:00:00+00:00,206.78,207.34,204.89,204.96
2016-05-17 00:00:00+00:00,204.8508,206.8,204.23,206.46
2016-05-18 00:00:00+00:00,204.91,206.3,203.63,204.44
2016-05-19 00:00:00+00:00,204.2,204.54,202.78,204.06
2016-05-20 00:00:00+00:00,205.49,206.1,204.86,204.92
2016-05-23 00:00:00+00:00,205.21,205.84,204.985,205.51
2016-05-24 00:00:00+00:00,207.87,208.24,206.14,206.17
2016-05-25 00:00:00+00:00,209.28,209.77,207.8691,208.67
2016-05-26 00:00:00+00:00,209.34,209.71,208.97,209.44
2016-05-27 00:00:00+00:00,210.24,210.25,209.47,209.53
2016-05-31 00:00:00+00:00,209.84,210.69,209.18,210.56
2016-06-01 00:00:00+00:00,210.27,210.48,208.89,209.12
2016-06-02 00:00:00+00:00,210.91,210.93,209.2399,209.8
2016-06-03 00:00:00+00:00,210.28,210.69,208.86,210.25
2016-06-06 00:00:00+00:00,211.35,211.77,210.51,210.7
2016-06-07 00:00:00+00:00,211.68,212.34,211.5,211.525
2016-06-08 00:00:00+00:00,212.37,212.52,211.6899,211.84
2016-06-09 00:00:00+00:00,212.08,212.22,211.19,211.51
2016-06-10 00:00:00+00:00,210.07,210.86,209.43,210.46
2016-06-13 00:00:00+00:00,208.4492,210.37,208.35,209.36
2016-06-14 00:00:00+00:00,208.04,208.74,206.9199,208.0
2016-06-15 00:00:00+00:00,207.75,209.36,207.53,208.54
2016-06-16 00:00:00+00:00,208.37,208.57,205.59,206.73
2016-06-17 00:00:00+00:00,206.52,207.2,205.75,207.17
2016-06-20 00:00:00+00:00,207.85,209.61,207.75,208.82
2016-06-21 00:00:00+00:00,208.44,208.92,207.78,208.3
2016-06-22 00:00:00+00:00,208.1,209.5,207.93,208.65
2016-06-23 00:00:00+00:00,210.81,210.87,209.27,209.81
2016-06-24 00:00:00+00:00,203.13,210.8463,202.72,203.63
2016-06-27 00:00:00+00:00,199.6,201.6,198.65,201.59
2016-06-28 00:00:00+00:00,203.1997,203.23,201.12,201.48
2016-06-29 00:00:00+00:00,206.66,206.93,204.72,204.84
2016-06-30 00:00:00+00:00,209.475,209.54,206.56,207.21
2016-07-01 00:00:00+00:00,209.9208,210.49,209.29,209.36
